序号,英文标题,中文标题,中文摘要
P01798,Biochar induced changes of soil dissolved organic matter: The release and adsorption of dissolved organic matter by biochar and soil,生物炭引起的土壤溶解性有机质变化：生物炭和土壤对溶解性有机质的释放与吸附,溶解性有机质(DOM)是影响土壤中许多生物和化学过程的重要有机质组分。生物炭可以改变土壤DOM，但其效果存在矛盾，且生物炭对土壤DOM的贡献尚不清楚。本研究采用激发-发射矩阵(EEM)荧光光谱法测定生物炭引起的DOM组成变化。通过批处理实验量化生物炭对土壤DOM的贡献。分别在300 °C和700 °C下热解小麦秸秆(S300/700)和牛粪(M300/700)制备生物炭。总体而言，生物炭可能通过释放固有DOM和选择性吸附小分子DOM，增加了土壤DOM的腐殖化程度。此外，无论施用量如何，S300和M300对土壤DOM的贡献(37-91%)均高于S700和M700(2-19%)。S300和M300释放的固有DOM是其吸附土壤DOM的6.4-12.1倍，导致DOM含量增加。相反，S700和M700释放的DOM仅为其吸附土壤DOM的11-17%，导致DOM含量减少。此外，随着施用量的增加，生物炭对土壤DOM的贡献增加，尤其是S300和M300。研究表明，DOM的释放和吸附是决定生物炭对土壤DOM影响的关键过程，这与生物炭的热解温度和施用量密切相关。
P01799,"Source identification and comprehensive apportionment of the accumulation of soil heavy metals by integrating pollution landscapes, pathways, and receptors",通过整合污染景观、途径和受体进行土壤重金属积累的源识别与综合归因,现有的土壤重金属源解析方法未能识别出与污染源相关的实际景观，也未能量化它们对土壤重金属积累的贡献。在这项工作中，我们提出了一种新的土壤重金属积累源识别和归因方法，该方法整合了污染景观、途径和受体。使用了2018年采样的中国大冶市土壤铅浓度数据集。首先，基于Pb的空间分布，使用地理探测器和空间分析方法识别源景观。其次，考虑大气沉降和地表径流作为扩散途径，开发了一个源景观归因模型（SLAM）。第三，考虑土壤属性和地形作为受体属性，采用普通最小二乘法（OLS）和地理加权回归（GWR）模型进一步调整受体位置的土壤Pb积累。结果表明，SLAM结合GWR模型（SLAM-GWR）具有最高的拟合精度。然后，获得了每个识别出的源景观通过不同途径对Pb积累贡献的空间分布和范围。最后，讨论了该方法的优缺点。
P01800,In situ electrokinetic (EK) remediation of the total and plant available cadmium (Cd) in paddy agricultural soil using low voltage gradients at pilot and full scales,利用低电压梯度在 pilot 和 full 尺度下对稻田农业土壤中总镉和植物有效镉的电动修复,电动修复（EK）在实验室尺度已被广泛研究，但田间尺度的研究相对较少。本研究在矿区附近的镉（Cd）污染稻田中，首次进行了为期14天的田间中试（4平方米）和全尺度（200平方米）的电动修复试验。两个尺度均施加20V的低电压；中试和全尺度的电压梯度分别为20 V/m和4 V/m。在电场阳极、阴极附近及中间区域，采集了0-10cm、10-20cm和40-50cm土层的样品。修复后，中试尺度所有土层的总Cd去除率显著，从上到下分别为87%、72%和54%；而全尺度仅在0-10cm土层显著去除了74%。对于植物有效（可交换及可溶态）Cd，仅在中试尺度的0-10cm土层观察到显著去除（64%）。阳极附近的总Cd去除率和电导率下降比例高于阴极。阴极附近土壤pH值升高，但因乳酸的充足供给，pH值保持在6以下。修复后，总Cd浓度降至中国农田稻田的风险阈值0.4 mg/kg以下。中试和全尺度的总能耗分别为2 kW·h和0.6 kW·h。本研究表明，利用低电压和低能耗，对Cd污染的稻田土壤进行原位电动修复取得了成功，特别是在表层土壤中。
P01885,Experimental study on long-term performance of new urban green space soil for sponge city construction,海绵城市建设新型城市绿地土壤长期性能的实验研究,随着现有城市绿地土壤(UGSS)逐渐压实，渗透性随时间降低，将无法满足海绵城市建设的需求。因此，有必要研究适合海绵城市建设的UGSS。本研究对新型城市绿地土壤(NUGSS)进行了干湿循环试验，研究了其渗透率、持水量、有机质含量和盐分随时间的变化规律。结果表明，在干湿循环作用下，NUGSS的持水量、渗透率、有机质含量和盐分呈下降趋势。NUGSS的综合性能将在4-6年内迅速衰退。使用约10年后，其综合性能将无法满足海绵城市UGSS性质的最佳要求。最后，本文讨论了当前城市绿化土壤标准、海绵城市土壤保护和管理，并提出了建议。
P02140,Mercury accumulation in vegetable Houttuynia cordata Thunb. from two diferent geological areas in southwest China and implications for human consumption,中国西南两个不同地质地区蔬菜鱼腥草中的汞积累及其对人类食用的启示,
P02144,Assessment of the pollution levels of potential toxic elements in urban vegetable gardens in southwest China,中国西南部城市菜园潜在有毒元素污染水平评价,城市地区菜园日益普遍，并能带来诸多社会效益；然而，由于城市化和工业化导致的潜在有毒元素(PTEs)污染令人担忧。本研究旨在评估城市菜园土壤的污染来源及污染水平，以及成人及儿童食用此类环境中种植的蔬菜所面临的健康风险。本研究在中国西南部成都市采集了来自26个社区菜园的各种类型蔬菜样本及其对应的土壤。结果显示，叶菜类，尤其是生菜叶和中国大白菜，具有相对较高的Cd (0.04 mg/kg FW)和Pb (0.05 mg/kg FW)含量；而在苋菜、西红柿和鱼腥草中分别发现了较高的As (0.07 mg/kg FW)、Cr (0.07 mg/kg FW)和Hg (0.003 mg/kg FW)含量。污染指数显示，菜园紫色土壤受Cd和As的污染相对较重，且蔬菜中这些金属元素的含量与土壤中的含量呈相关性。主成分分析将PTEs归为两个维度，累计解释了其变异的62.3%；分层聚类识别出两个不同的聚类，表明Cr来源于独特的来源。健康风险评估显示，暴露于As和Cd引起的非致癌风险最大，而Cr最有可能引起致癌风险。此外，食用受污染蔬菜对儿童的风险高于成人。导致菜园PTEs污染的关键因素被确定为蔬菜种类、土壤
P02145,"Estimating the heavy metal concentrations in topsoil in the Daxigou mining area, China, using multispectral satellite imagery",利用多光谱卫星遥感估算中国大峡矿区表层土壤重金属浓度,利用多光谱遥感技术精确估算土壤重金属浓度具有挑战性。本文以陕西省大西沟矿区为例，整合了Landsat8影像、数字高程模型和土壤样品的地球化学数据，以提高估算表层土壤中Cu、Pb和As浓度的准确性。
P02149,"Source analysis of heavy metal pollution in agricultural soil irrigated with sewage in Wuqing, Tianjin",天津武清污水灌溉区农田土壤重金属污染源解析,
P02150,"Antioxidant system response, mineral element uptake and safe utilization of Polygonatum sibiricum in cadmium-contaminated soil",镉污染土壤中黄精的抗氧化系统响应、矿质元素吸收及安全利用,中药材在中国西南地区广泛种植，该地区的农田土壤镉污染比中国整体更为严重。在这项研究中，黄精暴露于 e-1、e0、e2 和 e4 mg/kg 浓度的镉中 30、60 和 90 天，分析其生理应激反应、镉和矿质元素吸收、抗氧化酶活性以及药用成分（多糖）的含量变化，以解读在镉污染土壤中安全利用的可行性。结果表明，地上部分的抗氧化酶（SOD 和 CAT）活性始终高于地下部分。黄精的地下部分调动非酶系统促进具有抗氧化特性的多糖（PCP1、PCP2）的合成，以应对镉胁迫。种植 90 天后，矿质元素（P、K、Ca、Mg、Fe、Cu 和 Zn）发生了显著（p < 0.05）变化。特别是铁和锌含量的变化与 SOD 和 POD 的活性显著相关（p < 0.05）。土壤镉浓度为 e0 mg/kg 时可保证黄精的生产安全，且镉的刺激促进了多糖的合成和生物量的增长。
P02151,Comprehensive evaluation of soil quality in a desert steppe influenced by industrial activities in northern China,中国北部受工业活动影响的荒漠草原土壤质量综合评价,中国北部受工业活动影响的荒漠草原土壤质量综合评价。荒漠草原土壤安全问题备受关注。本研究调查了盐池县高沙窝工业集中区。共采集了82个代表不同污染源的表层土壤样品（0-20 cm）。分析了样品的pH值、全氮、全磷、有效磷、有效钾、有机质、铜、镉、铬、铅和锌。基于综合肥力指数（IFI）和内梅罗污染指数（PN）分析荒漠草原土壤质量，随后通过地统计模型计算综合土壤质量指数（SQI）。结果显示，IFI为0.393，表明土壤肥力相对较差。Pb是造成该地区重金属污染的主要元素。较高的PN值集中在研究区公路以北，导致该地区北部土壤质量较低，且土壤质量呈现由南向北下降的趋势。研究结果表明，平均SQI为0.351，土壤质量极低。
